No,Customer,Age,City,Product,Limit,Company,Segment
1,A1,76,BANGALORE,Gold,500000,C1,Self Employed
2,A2,71,CALCUTTA,Silver,100000,C2,Salaried_MNC
3,A3,34,COCHIN,Platinum,10000,C3,Salaried_Pvt
4,A4,47,BOMBAY,Platinum,10001,C4,Govt
5,A5,56,BANGALORE,Platinum,10002,C5,Normal Salary
6,A6,70,DELHI,Silver,100000,C6,Self Employed
7,A7,26,COCHIN,Silver,100001,C7,Salaried_MNC
8,A8,67,PATNA,Silver,100002,C8,Salaried_Pvt
9,A9,79,CHENNAI,Silver,100003,C9,Govt
10,A10,54,CALCUTTA,Gold,500000,C10,Normal Salary
11,A11,35,COCHIN,Gold,500000,C11,Normal Salary
12,A12,51,BOMBAY,Gold,500000,C12,Self Employed
13,A13,29,BANGALORE,Gold,500000,C13,Salaried_MNC
14,A14,16,BANGALORE,Gold,500000,C14,Salaried_Pvt
15,A15,25,CALCUTTA,Gold,500000,C15,Govt
16,A16,52,COCHIN,Gold,500000,C16,Normal Salary
17,A17,78,BOMBAY,Gold,500000,C17,Self Employed
18,A18,34,BANGALORE,Silver,100000,C18,Salaried_MNC
19,A19,27,BANGALORE,Platinum,10000,C19,Salaried_Pvt
20,A20,27,CALCUTTA,Platinum,10001,C20,Govt
21,A21,57,COCHIN,Platinum,10002,C21,Normal Salary
22,A22,27,BOMBAY,Silver,100000,C22,Self Employed
23,A23,51,BANGALORE,Silver,100001,C5,Salaried_MNC
24,A24,53,DELHI,Silver,100002,C6,Salaried_Pvt
25,A25,35,COCHIN,Silver,100003,C7,Govt
26,A26,38,PATNA,Gold,500000,C8,Normal Salary
27,A27,24,CHENNAI,Gold,500000,C9,Self Employed
28,A28,36,TRIVANDRUM,Gold,500000,C10,Salaried_MNC
29,A29,72,CALCUTTA,Gold,500000,C11,Salaried_Pvt
30,A30,25,BANGALORE,Gold,500000,C12,Govt
31,A31,63,CALCUTTA,Gold,500000,C13,Normal Salary
32,A32,41,COCHIN,Gold,500000,C14,Self Employed
33,A33,19,BOMBAY,Platinum,10002,C15,Salaried_MNC
34,A34,34,CALCUTTA,Platinum,100000,C16,Salaried_Pvt
35,A35,55,COCHIN,Platinum,100001,C17,Govt
36,A36,60,BOMBAY,Platinum,100002,C18,Normal Salary
37,A37,61,BANGALORE,Platinum,100003,C19,Normal Salary
38,A38,47,CHENNAI,Platinum,500000,C20,Self Employed
39,A39,78,TRIVANDRUM,Platinum,500000,C21,Salaried_MNC
